,review,rating,autor(a),data
0," A story about death, murder, loss, grief, aging, dementia, living skeletons, and deadbeat dads.Y’know, a kids movie. ", ★★★★ ,Matt Singer,29 Nov 2017
1," Me: Ah, there's already so many good animated movies about the process of death and family and letting go, what new is there to offerPixar: We made a movie where DEAD PEOPLE CAN DIE IF EVERYONE FORGETS ABOUT THEMMe: *is unbearably devastated* ", ★★★★ ,David Sims,28 Nov 2017
2, apparently this film had elements that are banned in china but their censor board found it so nice and heartwarming that they allowed it anyway and honestly what a fucking mood , ★★★★★ ,andrea🌹,18 Feb 2018
3, This review may contain spoilers. I can handle the truth.  goodnight to everyone except ernesto de la cruz  , ★★★★★ ,mememily,28 Feb 2018
4, I was so close to getting through this Pixar marathon without crying once. SO CLOSE. Fuck this movie. It's too amazing. , ★★★★ ,James (Schaffrillas),16 Sep 2020
5," “you’re gonna cry so hard at the end” yeah i started crying 19 minutes in, so jot that down ", ★★★★★ ,lauren,07 Jun 2018
6, Trauma blocking this again… fuck u Disney fuck u Pixar. Freak bitches u will burn. , ★★★★★ ,drewphillips09,10 Jan 2022
7, when I was leaving the cinema there was this little girl like 6yo her mum was trying to console her she was bawling her eyes out sobbing “she remembered” and girl SAME , ★★★★½ ,deah,13 Jan 2018
8, *cries in spanish , ★★★★ ,amanda,29 Nov 2017
9, Miguel: Remember M-Me: 😭😢😩😫😢😭💙😢😩😫😩😭😭💙😢😩😫😢💙😭😢😩😫😩😢💙😰😥😓😭💙😩😩😰😓😓😭💙😰😢😥😓😭😩😫💙😩😭😥 , ★★★★★ ,ty,04 Mar 2018
10, Poco Loco is a BANGER , ★★★★½ ,kayla,29 May 2018
11, not to sound like a cheesy old white lady but this shit is breathtaking bro , ★★★★ ,sree,01 Dec 2017
12, my depression has severely worsened , ★★★★★ ,feat. dante from the dmc series,10 Jan 2018
13, what if i said pixars best film what then , ★★★★★ ,aaron,25 Feb 2021
14, i cried EIGHT TIMES and im crying NOW , ★★★★★ ,deah,25 Dec 2017
15, Cinematic Parallels: Old people watching me sob my eyes out to Arrival (2016) // Little kids watching me sob my eyes out to Coco (2017) , ★★★★ ,Dan,03 Dec 2017
16, the only kind of children i can stand are animated children , ★★★★ ,sree,26 Dec 2017
17," Loved it. Amazing animation, super colorful and overall exciting. Might be Pixar's best work in terms of animation. In terms of a story I feel like it had some more potential for humor in it, but oh well. Liked it a lot. ", ★★★★ ,Karst,
18,"  ""Jesus said unto him: Let the dead bury their dead, but go thou and preach the kingdom of God.""-Luke 9:60A spoiler-free letter from the heart of a humble Mexican movie aficionado that wishes to be read from a Christian perspective, with a grateful heart, and yet with a very sad one, not only aimed at Pixar, but towards any person around the world that might be interested in the perspective of a young Mexican voice:Dear Pixar Animation…  ", ★★★★ ,Edgar Cochran ✝️,03 Nov 2017
19,"  I cried at like 6 different scenes in this movie. Coco is beautiful.Even within the Pixar formula, you can predict almost every beat of the story from only minutes in, and every emotion still hits so hard. No other Pixar film has moved me as much as this one did. I couldn't stop thinking about how incredible it would've been to see a film like this when I was young, or how I would've loved to see a live-action…  ", ★★★★ ,demi adejuyigbe,18 Dec 2017
20, Ok Yes I Cried…… Stupid Beautiful Film , ★★★★★ ,aksel,04 Nov 2021
21, spooky scary skeletons send tears down your face , ★★★½ ,adambolt,22 Jun 2020
22," Kinda flawed in the story department in a lot of ways but I honestly don't care. This is a beautiful love letter to Mexican culture and a great musical to boot. The characters are super endearing and the complex interwoven backstory holds up so well on repeat viewings. It also has the best ending of any Pixar film, period. ", ★★★★ ,James (Schaffrillas),
23, crying my fucking ass off , ★★★★★ ,bonerchomper46,10 Jan 2022
24, for the first 30 minutes before they went to the land of the dead i thought it was a coming out allegory , ★★★★ ,Jay,01 Jan 2021
25,"  Pixar movies still make money hand over fist, but it’s hardly a secret that Luxo the lamp isn’t shining quite as bright as it used to. Once upon a time, the company’s animated offerings were genuine cultural events, the best of them (“Ratatouille,” “Finding Nemo”) even meriting comparison to the masterpieces of Studio Ghibli. While their films reliably still clear the low bar set by some of their competition — there’s a world of difference between the noble failure of…  ", ★★★ ,davidehrlich,09 Nov 2017
26, It’s really depressing (and yet also hilarious) that the afterlife in this movie still has class systems and terrible rich people. Also: I love that this is the rare Disney movie that truly wrestles with the idea that “greatness” is not always something to aspire toward. , ★★★★ ,Houston Coley,31 Oct 2020
27, Coco? More like I can’t stop uncontrollably sobbing during this movie while being surrounded by lots of kids , ★★★★ ,rebecca,17 Dec 2017
28," If you didn't get chills when Miguel crossed over the Marigold Bridge... we may have a problem. AND IF YOU DID NOT CRY WHEN MIGUEL SINGS REMEMBER ME TO HIS MAMA COCO... you are probably dead inside. But in all seriousness, I have an honest question - who actually shed some tears/got teary-eyed during any part of this movie? It can't just have been me... But yeah this is top tier Pixar film making right here. We need more stuff like this pls. ", ★★★★½ ,☆ sophie ☆,02 Sep 2020
29, easily the most expensive guitar tutorial in history , ★★★★★ ,liam f,07 Nov 2020
30, i wish i could watch this again for the first time , ★★★★★ ,🔆jobelle🔆,29 Dec 2020
31, sobbing next to a six year old in the theater , ★★★★½ ,Emily Housel,21 Dec 2017
32,"  Brightness in the depth of the afterlife's night speckles an impossible cityscape in the hereafter; prismatic neon beasts from the depths of imagination roar, fly, and scramble through the streets; music fills the air with warm, gentle guitar tones. This film is overwhelming, but somehow melancholy. It is full and rich and vibrant in the midst of the dead. It is a classic fantasy of the underworld transliterated from Spanish and fashioned in the current style of inflection, of occasional…  ",,Sally Jane Black,13 Apr 2018
33, Eyegasmic visual effects and cinematography , ★★★★★ ,alor,29 Nov 2020
34,"  cons of the land of the dead:- famous people live forever regardless of moral character- oppressive bourgeoisie class system still exists- cops still exist- border patrol agents monitor all travel to the land of the living, despite the fact that even if you get past their security, you still won't be able to cross the magic bridge unless your photo is sitting on an ofrenda irl. so the border security is just an authoritarian monopolization of…  ", ★★★★ ,Houston Coley,20 Sep 2023
35, Don’t trust someone who doesn’t cry during Coco. Claira Curtis and I tried to rank the Top 7 Pixar movies in the latest episode of the House of Cinema podcast. Keyword: tried.  , ★★★★★ ,CinemaJoe,14 Apr 2022
